motor_x,motor_y,motor_z,time
-0.408535,0.000998,-0.027713,2023-12-29T17:47:50.217952Z
0.979254,0.000998,-0.052323,2023-12-29T17:47:50.218152Z
-0.670410,0.001314,0.035080,2023-12-29T17:47:50.218352Z
0.192863,0.000683,0.013621,2023-12-29T17:47:50.218552Z
-0.135303,0.000998,0.041391,2023-12-29T17:47:50.218752Z
0.160359,0.000998,0.042653,2023-12-29T17:47:50.218952Z
0.248087,0.001630,-0.011307,2023-12-29T17:47:50.219152Z
0.092513,0.000998,-0.013200,2023-12-29T17:47:50.219352Z
0.002261,0.000683,-0.013515,2023-12-29T17:47:50.219552Z
-0.063051,0.001630,0.012359,2023-12-29T17:47:50.219752Z
-0.533162,0.000683,0.060009,2023-12-29T17:47:50.219952Z
0.656114,0.000998,0.002261,2023-12-29T17:47:50.220152Z
0.531150,0.000367,0.014883,2023-12-29T17:47:50.220352Z
-0.368150,0.001630,-0.020456,2023-12-29T17:47:50.220552Z
-0.314198,0.000683,0.036973,2023-12-29T17:47:50.220752Z
-0.571970,0.000998,0.042022,2023-12-29T17:47:50.220952Z
-0.116372,0.001314,0.021826,2023-12-29T17:47:50.221152Z
0.527994,0.000367,-0.027713,2023-12-29T17:47:50.221352Z
-0.128992,0.001314,0.016777,2023-12-29T17:47:50.221552Z
-0.203138,0.000683,0.066005,2023-12-29T17:47:50.221752Z
-0.073778,0.000998,0.031608,2023-12-29T17:47:50.221952Z
-0.292427,0.001314,-0.009414,2023-12-29T17:47:50.222152Z
0.284377,0.000998,-0.069045,2023-12-29T17:47:50.222352Z
-0.240683,0.001630,-0.060211,2023-12-29T17:47:50.222552Z
0.257869,0.000683,0.050227,2023-12-29T17:47:50.222752Z
-0.462172,0.001314,0.024035,2023-12-29T17:47:50.222952Z
-0.459017,0.000998,0.002576,2023-12-29T17:47:50.223152Z
-0.382979,0.000367,0.041391,2023-12-29T17:47:50.223352Z
-0.344802,0.000998,0.005732,2023-12-29T17:47:50.223552Z
0.205485,0.000052,0.028137,2023-12-29T17:47:50.223752Z
0.534937,0.000998,0.003839,2023-12-29T17:47:50.223952Z
0.537461,0.000683,-0.039072,2023-12-29T17:47:50.224152Z
0.348121,0.000998,-0.009729,2023-12-29T17:47:50.224352Z
-0.254250,0.000998,-0.009098,2023-12-29T17:47:50.224552Z
-0.503820,0.000683,0.046756,2023-12-29T17:47:50.224752Z
-0.978034,0.000998,0.040760,2023-12-29T17:47:50.224952Z
-0.103436,0.000683,0.025613,2023-12-29T17:47:50.225152Z
0.898469,0.001314,-0.000895,2023-12-29T17:47:50.225352Z
0.164777,0.001314,-0.037494,2023-12-29T17:47:50.225552Z
0.380309,0.000683,-0.026767,2023-12-29T17:47:50.225752Z
0.621402,0.001630,-0.033077,2023-12-29T17:47:50.225952Z
-0.309149,0.000367,-0.016039,2023-12-29T17:47:50.226152Z
-0.553671,0.000998,0.081152,2023-12-29T17:47:50.226352Z
-0.101227,0.001630,-0.018879,2023-12-29T17:47:50.226552Z
-0.201560,0.000367,-0.006574,2023-12-29T17:47:50.226752Z
-0.205031,0.001314,0.003839,2023-12-29T17:47:50.226952Z
0.305520,0.000998,0.030662,2023-12-29T17:47:50.227152Z
-0.407589,0.001314,0.075788,2023-12-29T17:47:50.227352Z
0.148052,0.000367,0.024035,2023-12-29T17:47:50.227552Z
0.708183,0.000998,-0.010045,2023-12-29T17:47:50.227752Z
-0.152025,0.001630,-0.017301,2023-12-29T17:47:50.227952Z
0.206432,0.000367,0.005101,2023-12-29T17:47:50.228152Z
-0.218598,0.000998,0.012990,2023-12-29T17:47:50.228352Z
0.180240,0.000683,-0.020772,2023-12-29T17:47:50.228552Z
0.030346,0.001314,0.012674,2023-12-29T17:47:50.228752Z
-0.072200,0.000367,0.008888,2023-12-29T17:47:50.228952Z
-0.007521,0.000683,0.027506,2023-12-29T17:47:50.229152Z
-0.049168,0.000683,0.018670,2023-12-29T17:47:50.229352Z
-0.105645,0.000683,0.017092,2023-12-29T17:47:50.229552Z
-0.117634,0.000998,-0.006574,2023-12-29T17:47:50.229752Z
0.113971,0.001630,-0.000895,2023-12-29T17:47:50.229952Z
-0.093340,0.000998,0.020564,2023-12-29T17:47:50.230152Z
-0.171586,0.000367,0.018355,2023-12-29T17:47:50.230352Z
0.119651,0.000998,-0.009729,2023-12-29T17:47:50.230552Z
0.027506,0.000683,-0.003734,2023-12-29T17:47:50.230752Z
0.030662,0.000998,0.017408,2023-12-29T17:47:50.230952Z
0.117758,0.000683,0.007625,2023-12-29T17:47:50.231152Z
0.016461,0.001630,0.008888,2023-12-29T17:47:50.231352Z
-0.004050,0.001630,-0.010991,2023-12-29T17:47:50.231552Z
-0.178212,0.000998,-0.000579,2023-12-29T17:47:50.231752Z
-0.036232,0.000367,0.013621,2023-12-29T17:47:50.231952Z
-0.068730,0.001314,-0.001210,2023-12-29T17:47:50.232152Z
0.087779,0.000998,0.018986,2023-12-29T17:47:50.232352Z
0.114918,0.000367,0.004470,2023-12-29T17:47:50.232552Z
-0.180421,0.001314,0.006048,2023-12-29T17:47:50.232752Z
-0.022350,0.000998,0.014568,2023-12-29T17:47:50.232952Z
-0.111639,0.001314,-0.006889,2023-12-29T17:47:50.233152Z
0.084939,0.000998,0.024035,2023-12-29T17:47:50.233352Z
-0.129623,0.000998,0.000367,2023-12-29T17:47:50.233552Z
-0.170009,0.000683,0.024350,2023-12-29T17:47:50.233752Z
0.261025,0.001314,0.002576,2023-12-29T17:47:50.233952Z
-0.414530,0.000367,0.012359,2023-12-29T17:47:50.234152Z
0.118705,0.000998,0.009834,2023-12-29T17:47:50.234352Z
0.183080,0.000998,-0.014146,2023-12-29T17:47:50.234552Z
0.113971,0.001314,-0.008467,2023-12-29T17:47:50.234752Z
-0.235635,0.000052,0.006048,2023-12-29T17:47:50.234952Z
0.208010,0.001314,0.000683,2023-12-29T17:47:50.235152Z
-0.146346,0.001630,-0.003419,2023-12-29T17:47:50.235352Z
0.065058,0.000998,-0.006258,2023-12-29T17:47:50.235552Z
-0.233427,0.000683,0.018670,2023-12-29T17:47:50.235752Z
0.058116,0.001630,-0.006574,2023-12-29T17:47:50.235952Z
-0.103751,0.000998,0.024350,2023-12-29T17:47:50.236152Z
0.107975,0.000998,0.012043,2023-12-29T17:47:50.236352Z
0.048965,0.000367,0.012043,2023-12-29T17:47:50.236552Z
-0.028660,0.001630,0.023088,2023-12-29T17:47:50.236752Z
-0.078511,0.000998,0.018986,2023-12-29T17:47:50.236952Z
0.202330,0.000683,0.001945,2023-12-29T17:47:50.237152Z
0.077050,0.000683,0.000052,2023-12-29T17:47:50.237352Z
-0.082612,0.001314,0.022457,2023-12-29T17:47:50.237552Z
-0.157388,0.000367,0.004154,2023-12-29T17:47:50.237752Z
0.195387,0.000998,0.012990,2023-12-29T17:47:50.237952Z
-0.177581,0.001314,0.009519,2023-12-29T17:47:50.238152Z
-0.041596,0.000683,-0.001210,2023-12-29T17:47:50.238352Z
-0.026767,0.000998,-0.013831,2023-12-29T17:47:50.238552Z
-0.126784,0.000367,-0.003734,2023-12-29T17:47:50.238752Z
0.058747,0.001314,0.007310,2023-12-29T17:47:50.238952Z
-0.127415,0.000998,0.006994,2023-12-29T17:47:50.239152Z
0.200436,0.000367,0.006048,2023-12-29T17:47:50.239352Z
-0.078826,0.001314,-0.000264,2023-12-29T17:47:50.239552Z
-0.079457,0.000998,0.014883,2023-12-29T17:47:50.239752Z
0.117127,0.000998,-0.002788,2023-12-29T17:47:50.239952Z
-0.040334,0.000367,0.000683,2023-12-29T17:47:50.240152Z
0.029084,0.001630,-0.000579,2023-12-29T17:47:50.240352Z
-0.105329,0.000998,0.007310,2023-12-29T17:47:50.240552Z
-0.008467,0.000998,-0.000264,2023-12-29T17:47:50.240752Z
-0.076933,0.001314,0.007941,2023-12-29T17:47:50.240952Z
0.058116,0.001314,-0.012569,2023-12-29T17:47:50.241152Z
0.002576,0.000998,0.014252,2023-12-29T17:47:50.241352Z
-0.033077,0.000998,0.000998,2023-12-29T17:47:50.241552Z
0.197912,0.000998,0.005101,2023-12-29T17:47:50.241752Z
-0.297791,0.001314,0.000683,2023-12-29T17:47:50.241952Z
0.082099,0.000367,-0.002788,2023-12-29T17:47:50.242152Z
-0.103120,0.000683,0.015199,2023-12-29T17:47:50.242352Z
0.072948,0.001945,-0.002788,2023-12-29T17:47:50.242552Z
-0.000264,0.000683,-0.009729,2023-12-29T17:47:50.242752Z
-0.078195,0.000998,0.022457,2023-12-29T17:47:50.242952Z
0.445631,0.000998,-0.007521,2023-12-29T17:47:50.243152Z
-0.102489,0.000998,-0.003103,2023-12-29T17:47:50.243352Z
0.202961,0.000052,0.003523,2023-12-29T17:47:50.243552Z
0.019301,0.001630,0.004154,2023-12-29T17:47:50.243752Z
0.177716,0.000998,-0.014146,2023-12-29T17:47:50.243952Z
0.006994,0.000367,0.011412,2023-12-29T17:47:50.244152Z
-0.072516,0.000998,0.014883,2023-12-29T17:47:50.244352Z
0.097562,0.000998,0.006048,2023-12-29T17:47:50.244552Z
-0.022665,0.001314,0.023088,2023-12-29T17:47:50.244752Z
-0.302839,0.000683,0.024666,2023-12-29T17:47:50.244952Z
0.096931,0.000683,0.006994,2023-12-29T17:47:50.245152Z
0.228837,0.000998,-0.003419,2023-12-29T17:47:50.245352Z
-0.039387,0.000367,0.016146,2023-12-29T17:47:50.245552Z
-0.017932,0.000367,0.024035,2023-12-29T17:47:50.245752Z
0.131643,0.000052,0.023088,2023-12-29T17:47:50.245952Z
-0.040334,0.000998,0.017092,2023-12-29T17:47:50.246152Z
-0.243208,0.000367,0.028768,2023-12-29T17:47:50.246352Z
-0.115110,0.000998,-0.009729,2023-12-29T17:47:50.246552Z
0.330765,0.000683,-0.002788,2023-12-29T17:47:50.246752Z
0.053067,0.001630,-0.019194,2023-12-29T17:47:50.246952Z
0.322876,0.000683,-0.011622,2023-12-29T17:47:50.247152Z
0.024035,0.000367,0.004785,2023-12-29T17:47:50.247352Z
-0.245732,0.000998,0.007625,2023-12-29T17:47:50.247552Z
-0.062419,0.000683,0.009519,2023-12-29T17:47:50.247752Z
0.180556,0.001314,-0.043489,2023-12-29T17:47:50.247952Z
0.291320,0.000367,-0.011622,2023-12-29T17:47:50.248152Z
-0.390867,0.001314,0.012674,2023-12-29T17:47:50.248352Z
-0.215127,0.000998,0.014252,2023-12-29T17:47:50.248552Z
-0.094286,0.000998,0.023404,2023-12-29T17:47:50.248752Z
-0.156757,0.000998,0.000367,2023-12-29T17:47:50.248952Z
0.606886,0.000998,-0.015408,2023-12-29T17:47:50.249152Z
0.104504,0.000998,0.013306,2023-12-29T17:47:50.249352Z
0.190023,0.000683,-0.028344,2023-12-29T17:47:50.249552Z
0.644123,0.000683,-0.029606,2023-12-29T17:47:50.249752Z
0.153733,0.001630,-0.030237,2023-12-29T17:47:50.249952Z
0.050542,0.001314,-0.033708,2023-12-29T17:47:50.250152Z
-0.502558,0.000683,0.058747,2023-12-29T17:47:50.250352Z
0.058432,0.000367,0.038866,2023-12-29T17:47:50.250552Z
-0.498141,0.000998,0.017408,2023-12-29T17:47:50.250752Z
0.299840,0.000052,0.030662,2023-12-29T17:47:50.250952Z
0.417546,0.000683,0.017408,2023-12-29T17:47:50.251152Z
0.126909,0.001314,0.000367,2023-12-29T17:47:50.251352Z
0.138585,0.000683,0.021195,2023-12-29T17:47:50.251552Z
-0.316406,0.000998,-0.013200,2023-12-29T17:47:50.251752Z
0.170773,0.001630,0.013621,2023-12-29T17:47:50.251952Z
-0.112586,0.000683,-0.005627,2023-12-29T17:47:50.252152Z
-0.173479,0.000683,0.038235,2023-12-29T17:47:50.252352Z
0.130381,0.000998,0.021826,2023-12-29T17:47:50.252552Z
-0.094286,0.000683,0.044231,2023-12-29T17:47:50.252752Z
0.233886,0.001630,0.007310,2023-12-29T17:47:50.252952Z
-0.178843,0.000683,0.020248,2023-12-29T17:47:50.253152Z
0.767825,0.000367,0.005101,2023-12-29T17:47:50.253352Z
-0.416423,0.000998,0.012359,2023-12-29T17:47:50.253552Z
0.250927,0.001314,-0.004050,2023-12-29T17:47:50.253752Z
-0.099650,0.000367,0.007625,2023-12-29T17:47:50.253952Z
-0.052954,0.000683,0.027822,2023-12-29T17:47:50.254152Z
-0.003734,0.001630,0.000683,2023-12-29T17:47:50.254352Z
0.136061,0.000998,0.001630,2023-12-29T17:47:50.254552Z
0.261025,0.000998,0.000683,2023-12-29T17:47:50.254752Z
0.286270,0.000683,0.042022,2023-12-29T17:47:50.254952Z
0.046440,0.000998,0.046756,2023-12-29T17:47:50.255152Z
0.518527,0.000367,-0.001841,2023-12-29T17:47:50.255352Z
-0.686501,0.000998,0.021826,2023-12-29T17:47:50.255552Z
0.254083,0.000998,-0.032446,2023-12-29T17:47:50.255752Z
-0.179790,0.000998,0.009203,2023-12-29T17:47:50.255952Z
-0.085136,0.000998,-0.053270,2023-12-29T17:47:50.256152Z
-0.362471,0.000052,0.048333,2023-12-29T17:47:50.256352Z
0.998504,0.000683,-0.008152,2023-12-29T17:47:50.256552Z
-0.612671,0.000998,0.018039,2023-12-29T17:47:50.256752Z
0.356326,0.000998,-0.020772,2023-12-29T17:47:50.256952Z
-0.093655,0.000683,-0.029291,2023-12-29T17:47:50.257152Z
-0.087345,0.001314,-0.018248,2023-12-29T17:47:50.257352Z
0.109553,0.000367,-0.011622,2023-12-29T17:47:50.257552Z
0.504958,0.000052,-0.019825,2023-12-29T17:47:50.257752Z
-0.427151,0.001630,0.007941,2023-12-29T17:47:50.257952Z
0.409657,0.000998,0.019617,2023-12-29T17:47:50.258152Z
-0.273181,0.000683,0.044547,2023-12-29T17:47:50.258352Z
-0.188624,0.000998,-0.005943,2023-12-29T17:47:50.258552Z
-0.230903,0.000998,0.003207,2023-12-29T17:47:50.258752Z
0.148368,0.000998,0.052751,2023-12-29T17:47:50.258952Z
0.781078,0.000367,-0.014462,2023-12-29T17:47:50.259152Z
-0.154233,0.000998,-0.001210,2023-12-29T17:47:50.259352Z
0.178978,0.000683,-0.001526,2023-12-29T17:47:50.259552Z
-0.320192,0.000367,0.057800,2023-12-29T17:47:50.259752Z
0.263865,0.001630,0.006679,2023-12-29T17:47:50.259952Z
-1.198576,0.000998,0.057800,2023-12-29T17:47:50.260152Z
0.173613,0.000998,0.031608,2023-12-29T17:47:50.260352Z
0.293844,0.000683,-0.003103,2023-12-29T17:47:50.260552Z
1.040790,0.000998,-0.068414,2023-12-29T17:47:50.260752Z
-0.502873,0.001314,0.016777,2023-12-29T17:47:50.260952Z
0.103242,0.000998,0.032555,2023-12-29T17:47:50.261152Z
0.102926,0.000367,0.005732,2023-12-29T17:47:50.261352Z
0.345597,0.000998,0.028768,2023-12-29T17:47:50.261552Z
-0.088607,0.000998,0.024350,2023-12-29T17:47:50.261752Z
0.354748,0.000052,0.017092,2023-12-29T17:47:50.261952Z
0.370211,0.000998,-0.006574,2023-12-29T17:47:50.262152Z
0.354117,0.000998,-0.030237,2023-12-29T17:47:50.262352Z
0.521999,0.001630,-0.056109,2023-12-29T17:47:50.262552Z
-0.075355,0.000052,-0.001210,2023-12-29T17:47:50.262752Z
-0.322085,0.001630,0.069476,2023-12-29T17:47:50.262952Z
-0.003419,0.000998,0.008256,2023-12-29T17:47:50.263152Z
0.363269,0.000367,0.014568,2023-12-29T17:47:50.263352Z
-0.310096,0.001314,-0.011622,2023-12-29T17:47:50.263552Z
-0.139720,0.000998,-0.002788,2023-12-29T17:47:50.263752Z
-0.217967,0.001314,0.001314,2023-12-29T17:47:50.263952Z
-0.132148,0.000367,0.004785,2023-12-29T17:47:50.264152Z
-0.113532,0.001314,0.041075,2023-12-29T17:47:50.264352Z
0.244931,0.000683,0.001314,2023-12-29T17:47:50.264552Z
0.230100,0.000683,-0.015408,2023-12-29T17:47:50.264752Z
0.506536,0.001630,-0.059895,2023-12-29T17:47:50.264952Z
-0.303155,0.000998,-0.035601,2023-12-29T17:47:50.265152Z
-0.127099,0.000998,-0.000895,2023-12-29T17:47:50.265352Z
-0.146661,0.000998,-0.026767,2023-12-29T17:47:50.265552Z
0.362953,0.001630,-0.025505,2023-12-29T17:47:50.265752Z
-0.960996,0.000683,0.047702,2023-12-29T17:47:50.265952Z
-0.024874,0.000998,0.050542,2023-12-29T17:47:50.266152Z
-0.857824,0.001314,0.090304,2023-12-29T17:47:50.266352Z
-0.116372,0.001314,0.032871,2023-12-29T17:47:50.266552Z
-0.422418,0.001630,-0.013515,2023-12-29T17:47:50.266752Z
0.456992,0.000998,0.006363,2023-12-29T17:47:50.266952Z
0.601837,0.001314,-0.020456,2023-12-29T17:47:50.267152Z
-0.367204,0.001630,0.020248,2023-12-29T17:47:50.267352Z
-0.628762,0.000367,0.034449,2023-12-29T17:47:50.267552Z
-0.665677,0.001630,0.045178,2023-12-29T17:47:50.267752Z
-0.285171,0.000998,-0.036232,2023-12-29T17:47:50.267952Z
-0.250149,0.000683,-0.027082,2023-12-29T17:47:50.268152Z
-0.658736,0.000367,0.064112,2023-12-29T17:47:50.268352Z
1.305550,0.001630,-0.065890,2023-12-29T17:47:50.268552Z
-0.379508,0.000998,0.006679,2023-12-29T17:47:50.268752Z
-0.455862,0.000998,0.042338,2023-12-29T17:47:50.268952Z
