motor_x,motor_y,motor_z,time
-0.093971,0.001314,-0.005312,2023-12-15T13:58:53.186458Z
-0.035917,0.000683,0.001945,2023-12-15T13:58:53.186658Z
0.005101,0.001314,0.004470,2023-12-15T13:58:53.186858Z
0.119651,0.000998,0.002576,2023-12-15T13:58:53.187058Z
0.019932,0.001314,0.003839,2023-12-15T13:58:53.187258Z
-0.077249,0.000367,0.004785,2023-12-15T13:58:53.187458Z
-0.029922,0.000998,0.002576,2023-12-15T13:58:53.187658Z
0.021195,0.000998,-0.006889,2023-12-15T13:58:53.187858Z
0.077050,0.000683,-0.000264,2023-12-15T13:58:53.188058Z
0.000998,0.001630,0.009519,2023-12-15T13:58:53.188258Z
-0.037494,0.000683,0.017092,2023-12-15T13:58:53.188458Z
0.020879,0.001314,0.000683,2023-12-15T13:58:53.188658Z
-0.037810,0.000998,-0.011938,2023-12-15T13:58:53.188858Z
0.034449,0.000998,0.001630,2023-12-15T13:58:53.189058Z
0.007310,0.000998,0.013621,2023-12-15T13:58:53.189258Z
0.068530,0.000683,0.012990,2023-12-15T13:58:53.189458Z
0.056538,0.001630,-0.005943,2023-12-15T13:58:53.189658Z
-0.095548,0.000683,-0.010676,2023-12-15T13:58:53.189858Z
-0.019194,0.000998,0.005416,2023-12-15T13:58:53.190058Z
-0.007836,0.000998,0.016146,2023-12-15T13:58:53.190258Z
0.092197,0.000683,0.009519,2023-12-15T13:58:53.190458Z
0.055591,0.001314,-0.007836,2023-12-15T13:58:53.190658Z
-0.101543,0.000998,-0.007521,2023-12-15T13:58:53.190858Z
-0.114163,0.000998,0.012674,2023-12-15T13:58:53.191058Z
0.001630,0.001314,0.017723,2023-12-15T13:58:53.191258Z
0.148684,0.000998,0.004470,2023-12-15T13:58:53.191458Z
0.096615,0.000998,-0.007521,2023-12-15T13:58:53.191658Z
-0.034654,0.000998,-0.001841,2023-12-15T13:58:53.191858Z
-0.190202,0.000998,0.019301,2023-12-15T13:58:53.192058Z
-0.015724,0.000998,0.015199,2023-12-15T13:58:53.192258Z
0.114602,0.000683,-0.002157,2023-12-15T13:58:53.192458Z
0.054014,0.001314,-0.011622,2023-12-15T13:58:53.192658Z
-0.009729,0.000998,-0.000895,2023-12-15T13:58:53.192858Z
-0.215758,0.000998,0.020879,2023-12-15T13:58:53.193058Z
-0.004050,0.000998,0.010150,2023-12-15T13:58:53.193258Z
0.155626,0.000367,-0.012884,2023-12-15T13:58:53.193458Z
0.045178,0.001630,-0.008783,2023-12-15T13:58:53.193658Z
0.017408,0.000998,0.008256,2023-12-15T13:58:53.193858Z
-0.099334,0.000998,0.019932,2023-12-15T13:58:53.194058Z
0.000367,0.000998,0.007625,2023-12-15T13:58:53.194258Z
0.123438,0.000998,-0.016039,2023-12-15T13:58:53.194458Z
-0.035601,0.001314,-0.004050,2023-12-15T13:58:53.194658Z
-0.066206,0.000683,0.015830,2023-12-15T13:58:53.194858Z
-0.005943,0.001314,0.019932,2023-12-15T13:58:53.195058Z
0.097562,0.000998,-0.001841,2023-12-15T13:58:53.195258Z
0.017408,0.001314,-0.014462,2023-12-15T13:58:53.195458Z
-0.046328,0.000998,0.005732,2023-12-15T13:58:53.195658Z
0.032871,0.000998,0.015515,2023-12-15T13:58:53.195858Z
