motor_x,motor_y,motor_z,time
-2.462199,0.001314,0.159728,2023-12-29T17:36:47.638433Z
3.364620,0.001314,-0.036863,2023-12-29T17:36:47.638633Z
-0.134356,0.000367,0.101033,2023-12-29T17:36:47.638834Z
-2.094628,0.001314,0.112393,2023-12-29T17:36:47.639033Z
-0.269395,0.000052,0.142372,2023-12-29T17:36:47.639233Z
-1.098559,0.001314,0.016146,2023-12-29T17:36:47.639433Z
0.430169,0.001945,-0.019825,2023-12-29T17:36:47.639633Z
1.641628,0.000052,-0.023927,2023-12-29T17:36:47.639833Z
4.459951,0.001314,-0.140351,2023-12-29T17:36:47.640033Z
-2.234084,0.000998,-0.104383,2023-12-29T17:36:47.640234Z
1.114317,0.000683,-0.241314,2023-12-29T17:36:47.640433Z
-3.618864,0.000683,0.077681,2023-12-29T17:36:47.640633Z
0.068845,0.000998,0.404923,2023-12-29T17:36:47.640833Z
1.549167,0.000367,0.295737,2023-12-29T17:36:47.641033Z
-2.058976,0.000683,0.154995,2023-12-29T17:36:47.641233Z
-0.375722,0.001314,-0.171271,2023-12-29T17:36:47.641433Z
0.365478,0.000683,0.060009,2023-12-29T17:36:47.641634Z
-2.583355,0.001630,0.188760,2023-12-29T17:36:47.641833Z
0.263234,0.000367,0.122492,2023-12-29T17:36:47.642033Z
0.189707,0.001630,-0.110693,2023-12-29T17:36:47.642233Z
-4.956317,0.001314,0.062218,2023-12-29T17:36:47.642433Z
-1.342765,0.000998,0.149630,2023-12-29T17:36:47.642633Z
-0.117318,0.000367,0.108922,2023-12-29T17:36:47.642833Z
4.900166,0.001630,-0.178528,2023-12-29T17:36:47.643034Z
1.809509,0.001314,-0.177266,2023-12-29T17:36:47.643234Z
0.466774,0.000367,-0.017301,2023-12-29T17:36:47.643433Z
0.392616,0.000998,0.018355,2023-12-29T17:36:47.643633Z
-4.965782,0.000998,0.293213,2023-12-29T17:36:47.643833Z
0.918981,0.000998,-0.004365,2023-12-29T17:36:47.644033Z
-0.221437,0.000052,-0.042858,2023-12-29T17:36:47.644233Z
-3.127928,0.000998,0.267336,2023-12-29T17:36:47.644433Z
0.761513,0.000683,0.094091,2023-12-29T17:36:47.644634Z
-3.734026,0.000367,0.396403,2023-12-29T17:36:47.644833Z
5.856017,0.000998,-0.196827,2023-12-29T17:36:47.645033Z
4.405358,0.000683,-0.403487,2023-12-29T17:36:47.645233Z
-5.319786,0.001630,0.030662,2023-12-29T17:36:47.645433Z
-1.905953,0.000367,0.007625,2023-12-29T17:36:47.645633Z
2.722127,0.000998,-0.293374,2023-12-29T17:36:47.645833Z
-0.186415,0.001314,-0.257090,2023-12-29T17:36:47.646034Z
-0.134987,0.000998,-0.018563,2023-12-29T17:36:47.646233Z
-0.332497,0.000998,0.166355,2023-12-29T17:36:47.646433Z
-3.559863,0.000683,0.303311,2023-12-29T17:36:47.646633Z
0.911092,0.001314,0.102611,2023-12-29T17:36:47.646833Z
-4.561927,0.000998,0.168880,2023-12-29T17:36:47.647033Z
2.711713,0.000683,-0.030868,2023-12-29T17:36:47.647233Z
0.002892,0.000052,-0.141928,2023-12-29T17:36:47.647434Z
2.773564,0.001314,-0.055478,2023-12-29T17:36:47.647633Z
-1.987985,0.001630,-0.214496,2023-12-29T17:36:47.647833Z
0.486340,0.000683,-0.137511,2023-12-29T17:36:47.648033Z
1.324484,0.001314,0.077366,2023-12-29T17:36:47.648233Z
-1.497365,0.000367,0.061272,2023-12-29T17:36:47.648433Z
2.978683,0.000367,-0.122998,2023-12-29T17:36:47.648633Z
-2.814941,0.000998,-0.030553,2023-12-29T17:36:47.648834Z
-1.537435,0.001630,0.070423,2023-12-29T17:36:47.649033Z
-0.179790,0.000683,0.149946,2023-12-29T17:36:47.649233Z
-5.173073,0.000998,0.287848,2023-12-29T17:36:47.649433Z
0.875433,0.000683,-0.005627,2023-12-29T17:36:47.649633Z
7.001522,0.000367,-0.608254,2023-12-29T17:36:47.649833Z
1.208671,0.000052,-0.112901,2023-12-29T17:36:47.650033Z
0.926239,0.000998,-0.039387,2023-12-29T17:36:47.650234Z
-1.677838,0.000683,0.262603,2023-12-29T17:36:47.650434Z
4.062337,0.000683,-0.567238,2023-12-29T17:36:47.650633Z
-4.666362,0.001314,-0.068414,2023-12-29T17:36:47.650833Z
0.243669,0.000367,-0.050746,2023-12-29T17:36:47.651033Z
-3.440600,0.000998,0.375891,2023-12-29T17:36:47.651233Z
1.308074,0.000998,0.129434,2023-12-29T17:36:47.651433Z
-0.140351,0.000998,-0.211656,2023-12-29T17:36:47.651634Z
-1.753245,0.001314,-0.027713,2023-12-29T17:36:47.651834Z
1.146504,0.000998,0.077997,2023-12-29T17:36:47.652033Z
1.297029,0.000683,-0.003419,2023-12-29T17:36:47.652233Z
