motor_x,motor_y,motor_z,time
-0.024874,0.000998,0.008888,2023-12-29T19:05:18.397153Z
0.061587,0.000367,-0.001526,2023-12-29T19:05:18.397353Z
0.221579,0.001630,-0.003419,2023-12-29T19:05:18.397552Z
-0.175688,0.000367,-0.005943,2023-12-29T19:05:18.397753Z
-0.114479,0.000998,0.029399,2023-12-29T19:05:18.397953Z
-0.151394,0.001630,0.001630,2023-12-29T19:05:18.398153Z
0.006048,0.001314,-0.023612,2023-12-29T19:05:18.398353Z
-0.139720,0.000998,-0.005312,2023-12-29T19:05:18.398553Z
0.243985,0.000683,0.009519,2023-12-29T19:05:18.398753Z
0.089357,0.001314,0.014252,2023-12-29T19:05:18.398953Z
0.124700,0.000367,-0.005312,2023-12-29T19:05:18.399153Z
0.047071,0.000683,0.016777,2023-12-29T19:05:18.399353Z
-0.037179,0.001314,0.006994,2023-12-29T19:05:18.399553Z
0.059694,0.001630,0.012990,2023-12-29T19:05:18.399753Z
-0.002472,0.000998,0.008256,2023-12-29T19:05:18.399953Z
-0.158335,0.000998,0.000998,2023-12-29T19:05:18.400153Z
-0.088607,0.001314,0.025928,2023-12-29T19:05:18.400353Z
-0.111955,0.001314,0.019617,2023-12-29T19:05:18.400553Z
0.031293,0.000683,0.009834,2023-12-29T19:05:18.400753Z
0.023404,0.000683,-0.002472,2023-12-29T19:05:18.400953Z
0.004785,0.000998,0.016777,2023-12-29T19:05:18.401153Z
-0.054847,0.000683,0.003207,2023-12-29T19:05:18.401353Z
0.274279,0.001314,-0.009098,2023-12-29T19:05:18.401553Z
0.095668,0.000683,0.006048,2023-12-29T19:05:18.401753Z
-0.126468,0.000998,0.022457,2023-12-29T19:05:18.401953Z
-0.103751,0.001314,-0.004050,2023-12-29T19:05:18.402153Z
-0.146977,0.000683,-0.004050,2023-12-29T19:05:18.402353Z
0.045809,0.001945,0.000998,2023-12-29T19:05:18.402553Z
-0.110062,0.000367,0.018670,2023-12-29T19:05:18.402753Z
0.091882,0.000683,0.015199,2023-12-29T19:05:18.402953Z
