motor_x,motor_y,motor_z,time
3.282888,0.001314,0.425435,2023-12-29T19:52:54.793482Z
-7.374396,0.000998,0.422911,2023-12-29T19:52:54.793682Z
1.159758,0.001630,0.007625,2023-12-29T19:52:54.793882Z
3.562796,0.000367,-0.266240,2023-12-29T19:52:54.794082Z
-5.605008,0.001630,-0.012884,2023-12-29T19:52:54.794282Z
1.832861,0.000683,-0.307256,2023-12-29T19:52:54.794482Z
-1.587917,0.000683,-0.324609,2023-12-29T19:52:54.794682Z
-0.097441,0.002261,0.202330,2023-12-29T19:52:54.794882Z
0.263234,0.000367,-0.167485,2023-12-29T19:52:54.795082Z
-1.937188,0.001314,-0.055794,2023-12-29T19:52:54.795282Z
1.406531,0.001630,-0.220175,2023-12-29T19:52:54.795482Z
0.556395,0.001314,-0.169062,2023-12-29T19:52:54.795682Z
-3.130452,0.000998,0.205801,2023-12-29T19:52:54.795882Z
0.879220,0.000998,0.066005,2023-12-29T19:52:54.796082Z
-0.545783,0.000998,-0.028975,2023-12-29T19:52:54.796282Z
-0.330920,0.001314,-0.066837,2023-12-29T19:52:54.796482Z
3.827240,0.000998,-0.228063,2023-12-29T19:52:54.796682Z
-1.114650,0.000367,0.008572,2023-12-29T19:52:54.796882Z
-0.618982,0.000998,0.109869,2023-12-29T19:52:54.797082Z
-0.183260,0.001630,0.072948,2023-12-29T19:52:54.797282Z
-3.479092,0.001314,0.021195,2023-12-29T19:52:54.797482Z
0.609410,0.001314,-0.062104,2023-12-29T19:52:54.797682Z
-0.647062,0.000367,0.063796,2023-12-29T19:52:54.797882Z
-1.275245,0.001945,0.116811,2023-12-29T19:52:54.798082Z
0.940439,0.000683,0.104504,2023-12-29T19:52:54.798282Z
-1.648811,0.001314,0.152786,2023-12-29T19:52:54.798482Z
-2.984370,0.000367,0.073894,2023-12-29T19:52:54.798682Z
-0.622452,0.001314,0.313409,2023-12-29T19:52:54.798882Z
-1.115912,0.001314,0.406817,2023-12-29T19:52:54.799082Z
4.091685,0.000683,-0.316722,2023-12-29T19:52:54.799282Z
-0.525275,0.001314,0.045809,2023-12-29T19:52:54.799482Z
0.186551,0.000367,-0.202191,2023-12-29T19:52:54.799682Z
3.929800,0.000367,-0.181052,2023-12-29T19:52:54.799882Z
-2.129650,0.000683,0.114602,2023-12-29T19:52:54.800082Z
-0.436616,0.000683,0.194441,2023-12-29T19:52:54.800282Z
-1.206464,0.001314,0.125647,2023-12-29T19:52:54.800482Z
-0.392444,0.001630,0.165409,2023-12-29T19:52:54.800682Z
-0.776422,0.001630,0.115233,2023-12-29T19:52:54.800882Z
2.488924,0.000683,0.343388,2023-12-29T19:52:54.801082Z
0.025613,0.000998,0.271439,2023-12-29T19:52:54.801282Z
-1.315631,0.000367,0.071054,2023-12-29T19:52:54.801482Z
-2.239448,0.001630,0.049280,2023-12-29T19:52:54.801682Z
0.776976,0.000998,0.154364,2023-12-29T19:52:54.801882Z
-0.940488,0.002261,-0.276336,2023-12-29T19:52:54.802082Z
1.819923,0.000367,-0.159281,2023-12-29T19:52:54.802282Z
-1.004221,0.000998,0.109553,2023-12-29T19:52:54.802482Z
0.507167,0.000998,-0.062735,2023-12-29T19:52:54.802682Z
1.302710,0.000367,-0.072831,2023-12-29T19:52:54.802882Z
1.378446,0.000683,0.013621,2023-12-29T19:52:54.803082Z
-1.105500,0.001314,-0.028029,2023-12-29T19:52:54.803282Z
0.391038,0.000998,0.085886,2023-12-29T19:52:54.803482Z
-0.679244,0.000683,0.033817,2023-12-29T19:52:54.803682Z
-0.090184,0.000367,0.063796,2023-12-29T19:52:54.803882Z
-1.120329,0.000052,0.018355,2023-12-29T19:52:54.804082Z
-0.829428,0.001314,-0.016986,2023-12-29T19:52:54.804282Z
-0.735721,0.000998,-0.267186,2023-12-29T19:52:54.804482Z
-0.023927,0.000998,-0.012569,2023-12-29T19:52:54.804682Z
-0.423049,0.001630,0.015199,2023-12-29T19:52:54.804882Z
