motor_x,motor_y,motor_z,time
-0.540419,0.000998,-0.009414,2023-12-29T19:29:49.632160Z
0.434587,0.000998,0.009203,2023-12-29T19:29:49.632360Z
-0.069676,0.000683,0.056223,2023-12-29T19:29:49.632560Z
0.529257,0.001314,0.008572,2023-12-29T19:29:49.632760Z
0.117442,0.001630,-0.011307,2023-12-29T19:29:49.632960Z
-0.275390,0.000998,-0.000895,2023-12-29T19:29:49.633160Z
0.009519,0.000683,-0.001526,2023-12-29T19:29:49.633360Z
-0.351743,0.000683,0.010781,2023-12-29T19:29:49.633560Z
0.757095,0.000998,-0.005627,2023-12-29T19:29:49.633760Z
-0.220491,0.000367,0.026559,2023-12-29T19:29:49.633960Z
-0.251726,0.001314,0.016146,2023-12-29T19:29:49.634160Z
0.461725,0.001314,-0.023296,2023-12-29T19:29:49.634360Z
-0.240368,0.001314,-0.017617,2023-12-29T19:29:49.634560Z
0.324770,0.000998,0.012674,2023-12-29T19:29:49.634760Z
0.506536,0.001630,-0.001210,2023-12-29T19:29:49.634960Z
-0.521173,0.001314,0.008572,2023-12-29T19:29:49.635160Z
-0.176950,0.000367,-0.005627,2023-12-29T19:29:49.635360Z
-0.097441,0.000367,-0.009729,2023-12-29T19:29:49.635560Z
-0.107538,0.000683,0.014568,2023-12-29T19:29:49.635760Z
0.310254,0.001314,0.016146,2023-12-29T19:29:49.635960Z
0.311516,0.000367,0.003523,2023-12-29T19:29:49.636160Z
0.251558,0.000998,-0.021087,2023-12-29T19:29:49.636360Z
-0.746764,0.000683,0.006048,2023-12-29T19:29:49.636560Z
0.619193,0.001314,0.002576,2023-12-29T19:29:49.636760Z
-0.467852,0.000998,0.030977,2023-12-29T19:29:49.636960Z
0.516318,0.000367,0.007941,2023-12-29T19:29:49.637160Z
-0.470376,0.000998,-0.023927,2023-12-29T19:29:49.637360Z
-0.235004,0.001314,-0.005943,2023-12-29T19:29:49.637560Z
0.367055,0.001630,-0.007521,2023-12-29T19:29:49.637760Z
-0.228063,0.000998,0.030977,2023-12-29T19:29:49.637960Z
0.159413,0.000998,-0.005627,2023-12-29T19:29:49.638160Z
0.253452,0.000683,-0.011622,2023-12-29T19:29:49.638360Z
0.005101,0.000998,0.026244,2023-12-29T19:29:49.638560Z
0.186867,0.000683,0.012359,2023-12-29T19:29:49.638760Z
-0.412006,0.001314,0.013621,2023-12-29T19:29:49.638960Z
0.412181,0.001314,-0.022981,2023-12-29T19:29:49.639160Z
